x,theoretical,empirical_100,empirical_1000,empirical_10000
-4,1.56563e-05,0,0,0.004
-3.92,2.23149e-05,0,0,0.003
-3.84,3.16231e-05,0.0333333,0,0.00266667
-3.76,4.45581e-05,0.0333333,0,0.00166667
-3.68,6.24264e-05,0.0333333,0,0.00166667
-3.6,8.6964e-05,0.0333333,0,0.00366667
-3.52,0.000120462,0,0,0.00533333
-3.44,0.000165924,0.0333333,0,0.00566667
-3.36,0.000227261,0.0333333,0,0.006
-3.28,0.000309535,0.0333333,0,0.00466667
-3.2,0.000419249,0.0333333,0.00333333,0.007
-3.12,0.000564707,0,0.00333333,0.00733333
-3.04,0.000756438,0,0.00333333,0.00866667
-2.96,0.0010077,0,0.00333333,0.0103333
-2.88,0.00133509,0,0.00666667,0.013
-2.8,0.00175921,0,0.01,0.0143333
-2.72,0.00230549,0,0.01,0.014
-2.64,0.0030051,0,0.00666667,0.0166667
-2.56,0.00389594,0,0.01,0.0156667
-2.48,0.00502378,0.0333333,0.01,0.018
-2.4,0.00644348,0.0333333,0.03,0.0256667
-2.32,0.00822032,0.0333333,0.0366667,0.0243333
-2.24,0.0104313,0.0333333,0.0433333,0.0296667
-2.16,0.0131665,0,0.0466667,0.033
-2.08,0.0165304,0,0.0466667,0.0336667
-2,0.0206429,0.0333333,0.0466667,0.04
-1.92,0.0256405,0.0333333,0.0366667,0.043
-1.84,0.0316763,0.0333333,0.0333333,0.0456667
-1.76,0.0389199,0.0333333,0.0433333,0.0453333
-1.68,0.0475568,0,0.0566667,0.0546667
-1.6,0.0577855,0,0.06,0.0603333
-1.52,0.0698138,0.0333333,0.0533333,0.0636667
-1.44,0.0838533,0.0666667,0.0566667,0.0663333
-1.36,0.100111,0.0666667,0.0533333,0.0646667
-1.28,0.118777,0.133333,0.0733333,0.073
-1.2,0.140011,0.1,0.0633333,0.0803333
-1.12,0.163923,0.0666667,0.0766667,0.092
-1.04,0.190553,0.0666667,0.09,0.0976667
-0.96,0.21984,0.0666667,0.0833333,0.114333
-0.88,0.251601,0.133333,0.09,0.122333
-0.8,0.285498,0.2,0.116667,0.126333
-0.72,0.321016,0.2,0.12,0.137
-0.64,0.357445,0.2,0.13,0.144667
-0.56,0.393881,0.133333,0.13,0.151333
-0.48,0.429234,0.1,0.133333,0.164667
-0.4,0.462278,0.133333,0.156667,0.174667
-0.32,0.491711,0.2,0.19,0.180333
-0.24,0.516248,0.2,0.213333,0.185
-0.16,0.534726,0.3,0.246667,0.189667
-0.08,0.546216,0.233333,0.27,0.198667
2.47025e-15,0.550116,0.233333,0.276667,0.212333
0.08,0.546216,0.333333,0.28,0.226333
0.16,0.534726,0.3,0.24,0.227333
0.24,0.516248,0.333333,0.223333,0.243333
0.32,0.491711,0.266667,0.22,0.234
0.4,0.462278,0.166667,0.236667,0.245667
0.48,0.429234,0.233333,0.253333,0.243667
0.56,0.393881,0.3,0.3,0.244667
0.64,0.357445,0.3,0.293333,0.248333
0.72,0.321016,0.333333,0.33,0.257
0.8,0.285498,0.266667,0.32,0.255333
0.88,0.251601,0.266667,0.293333,0.258667
0.96,0.21984,0.4,0.266667,0.258667
1.04,0.190553,0.4,0.23,0.258667
1.12,0.163923,0.333333,0.223333,0.273667
1.2,0.140011,0.233333,0.263333,0.278333
1.28,0.118777,0.133333,0.253333,0.273333
1.36,0.100111,0.133333,0.246667,0.261
1.44,0.0838533,0.133333,0.216667,0.243333
1.52,0.0698138,0.1,0.2,0.254667
1.6,0.0577855,0.166667,0.2,0.249
1.68,0.0475568,0.2,0.23,0.258
1.76,0.0389199,0.266667,0.243333,0.249667
1.84,0.0316763,0.3,0.236667,0.231333
1.92,0.0256405,0.333333,0.213333,0.220333
2,0.0206429,0.333333,0.21,0.212333
2.08,0.0165304,0.266667,0.226667,0.199333
2.16,0.0131665,0.2,0.193333,0.192667
2.24,0.0104313,0.2,0.186667,0.183
2.32,0.00822032,0.2,0.173333,0.175667
2.4,0.00644348,0.166667,0.146667,0.165667
2.48,0.00502378,0.2,0.16,0.155667
2.56,0.00389594,0.2,0.153333,0.147667
2.64,0.0030051,0.1,0.133333,0.141
2.72,0.00230549,0.1,0.126667,0.140333
2.8,0.00175921,0.0666667,0.136667,0.129333
2.88,0.00133509,0.0666667,0.116667,0.119333
2.96,0.0010077,0.0666667,0.11,0.106333
3.04,0.000756438,0.0666667,0.0933333,0.106
3.12,0.000564707,0.0333333,0.1,0.0966667
3.2,0.000419249,0.0333333,0.0866667,0.093
3.28,0.000309535,0.0333333,0.0933333,0.0816667
3.36,0.000227261,0.0666667,0.0933333,0.075
3.44,0.000165924,0.1,0.0833333,0.0713333
3.52,0.000120462,0.0666667,0.0766667,0.0633333
3.6,8.6964e-05,0.0333333,0.0666667,0.0596667
3.68,6.24264e-05,0.0666667,0.0433333,0.049
3.76,4.45581e-05,0.0333333,0.0333333,0.042
3.84,3.16231e-05,0.0333333,0.0333333,0.0363333
3.92,2.23149e-05,0,0.0333333,0.034
