trivial,shift,scale,shape
-1.80462,2.32274,-0.3011,0.364204
2.17428,0.614344,-3.89594,-0.535768
-1.05251,2.72591,-0.0632031,-0.409703
0.532546,2.17842,1.04203,-0.888551
0.891761,1.71848,-0.347146,-0.0574862
0.755783,2.1699,0.95197,0.2073
-2.29552,0.529482,-0.724471,0.886843
1.88614,1.4246,-1.32014,-0.579113
-2.4263,1.71057,1.67204,-1.14028
-4.0352,0.876881,-0.100925,-0.229321
-1.351,2.15852,1.13284,-1.10272
-1.11733,1.97818,-0.100152,1.84296
-1.11565,2.1711,2.4204,-0.407262
0.395896,2.23481,1.06091,0.625408
1.33587,3.80941,0.451897,0.973202
0.179967,0.960431,-0.071955,0.0758101
0.749195,0.448518,-0.12259,-0.414402
-0.949571,1.45246,1.3443,-0.033269
-3.09598,0.490167,0.527452,0.364894
3.07439,2.31682,3.68877,-0.698508
1.96386,0.270842,3.03116,-0.416728
-2.80611,2.66218,3.15282,-0.0630925
-0.197688,1.67475,-0.98542,2.27864
-0.0398514,2.95986,0.548484,0.204663
-0.304917,2.32493,-2.88885,-0.608121
-0.114681,1.08688,0.86958,-0.146385
-1.69766,-0.211302,0.594426,-0.949624
1.32966,1.3499,-0.9103,0.280556
-3.08793,1.09013,0.300024,1.14594
0.0980821,2.70447,3.51116,0.986516
-0.384594,1.2042,-2.99697,-0.350574
-1.78727,2.58261,0.202895,0.289569
-1.86728,2.0148,2.76676,-0.338294
-1.58623,1.22958,0.97806,0.289907
0.483471,1.65264,2.78172,-0.317524
-0.457711,2.6568,0.924721,0.166207
-1.5697,0.667604,-2.48978,-0.127999
0.318858,2.54827,2.43637,0.686243
-1.73267,1.42143,-0.415296,-0.0670514
0.607373,0.956891,-1.57288,0.43881
-0.454436,2.75258,-2.37755,0.498834
-1.28939,1.84047,0.422839,-0.248807
1.31593,1.93028,0.317358,0.746863
-0.429851,0.37187,-1.73855,0.308782
0.189625,1.16771,0.825193,0.0795102
-2.15545,-0.420904,-1.08971,0.511879
0.511181,1.47249,6.11324,0.739927
-0.527145,1.57731,-0.074455,0.830424
0.391514,-0.58868,-4.04986,-0.977962
0.120709,1.59321,-0.406381,0.961899
-1.9878,-0.008375,2.76361,0.260159
-2.13891,1.97446,0.810735,-0.734431
-0.833179,2.579,-0.61546,-0.860724
0.716232,0.158794,0.841111,0.943867
0.982178,2.57371,-0.881103,0.566943
0.227549,3.38193,-0.306985,-1.14339
-4.21334,1.25894,-2.33743,-0.340256
0.633048,2.07737,-0.79887,-0.0890542
1.77534,-0.461125,-1.16079,-1.85588
-1.74642,1.79488,-2.68276,0.322824
0.826417,1.78514,-1.90447,-0.914758
-1.26336,2.25709,0.922767,-0.952043
1.23243,2.01848,-0.13638,-0.970222
-2.50945,0.456523,2.27718,0.689991
-0.885339,2.64345,1.35409,-0.414532
-2.11871,3.93498,0.0427983,-1.17904
-0.0941073,0.548133,-2.33427,-0.318437
0.415819,1.29461,-0.854241,0.194449
-0.800713,0.461533,0.21112,0.345617
-1.04758,-0.0404162,-0.647261,-0.050696
0.553099,2.09469,-0.573321,1.54867
-0.525062,2.09646,-0.447773,-1.38983
-1.48233,1.82133,0.115049,-1.2658
-0.696175,0.331354,-3.87075,0.244119
1.97172,0.0380467,-0.0815221,-0.528891
1.20641,1.86468,-3.40044,-1.37075
2.66872,1.47976,0.273465,-0.360174
-1.37569,2.38933,-1.04572,0.224934
1.75853,1.62597,0.140014,0.70242
-0.696628,1.4187,-0.709412,-0.287576
-0.495667,2.78551,-0.0935807,0.502394
1.82145,2.58033,1.20532,-0.480797
0.370286,1.71082,-1.67817,0.552307
-0.595453,0.278582,0.503398,-0.740293
1.22068,-0.058029,-2.3603,0.490228
0.0356732,2.07151,-7.11686,0.63903
-0.738871,3.96027,1.83488,-0.0686319
-2.82331,-0.109018,-0.202614,0.0120053
-1.13382,-0.690985,-0.0977846,-0.156506
-0.638559,2.83472,-1.87798,0.563119
1.8409,1.96337,1.52238,0.338302
2.16455,1.70007,0.911502,0.150294
1.09495,0.28175,1.80578,-0.442995
0.622994,2.88209,-0.44633,1.0818
0.874845,1.68908,-0.556067,0.759041
-1.48249,2.10955,-0.994365,-0.0372917
0.465585,1.46258,0.358832,0.0997052
0.769996,1.57496,0.375362,-3.02128
-0.79274,2.70326,-0.0815022,-0.472721
1.5337,-0.0309099,0.0160168,-0.114055
-2.95116,1.98628,-0.503666,0.736247
-0.268579,0.684217,0.873833,0.862718
1.0983,0.957523,0.353387,-0.301823
1.56126,-1.19899,0.104348,0.0831912
-1.56982,2.63864,0.965392,0.155534
-2.56302,1.27833,-2.51221,-0.816934
0.778543,1.29087,1.01307,0.140354
-3.39594,1.10117,-1.86802,-0.0457615
-0.841546,3.02072,1.72206,1.09942
0.281922,2.70394,1.96745,1.03282
-0.378789,0.593668,-2.03043,-0.712744
-1.83327,1.63355,-1.10508,-0.101851
0.458804,2.4203,-0.522134,-0.265798
-1.78316,0.471852,3.17621,-0.589676
-1.0735,-0.129276,0.75994,1.17853
-1.8877,2.21249,-1.8735,-0.162724
-4.59813,1.89367,0.647516,-0.934656
0.541303,1.35708,-1.33824,-0.931763
0.337092,2.49947,1.52152,-0.0374242
2.00449,2.2639,-3.09916,-1.07956
1.17591,2.52096,3.86261,0.904473
-0.607655,-0.177182,0.966957,-0.422855
-1.36687,-1.1915,1.20969,-0.048155
2.4794,0.296025,-0.322917,0.0752083
0.495383,3.83107,-3.53167,0.647128
1.62667,0.0239296,1.79909,0.403814
-1.12793,2.61271,1.53017,0.584207
-0.843945,2.26363,0.943226,0.571207
-0.84591,3.3836,-0.509298,0.606869
0.169589,1.69353,0.919577,-0.219284
1.846,-1.34259,2.43927,-0.835132
