x,trivial,shift,scale,shape
-6,0.000436838,8.19983e-11,0.00344049,3.95482e-10
-5.88,0.00054084,1.73936e-10,0.00383699,8.37755e-10
-5.76,0.000667544,3.63956e-10,0.00427342,1.75044e-09
-5.64,0.000821405,7.51265e-10,0.00475307,3.6077e-09
-5.52,0.00100764,1.52981e-09,0.00527938,7.33452e-09
-5.4,0.00123233,3.07321e-09,0.00585599,1.47091e-08
-5.28,0.00150255,6.09081e-09,0.00648667,2.90991e-08
-5.16,0.00182647,1.19097e-08,0.00717537,5.67897e-08
-5.04,0.00221352,2.29764e-08,0.00792618,1.09336e-07
-4.92,0.00267449,4.37359e-08,0.00874331,2.07673e-07
-4.8,0.00322174,8.21461e-08,0.00963107,3.89158e-07
-4.68,0.00386932,1.52246e-07,0.0105939,7.19478e-07
-4.56,0.00463312,2.78444e-07,0.0116362,1.31241e-06
-4.44,0.00553106,5.0255e-07,0.0127625,2.3621e-06
-4.32,0.00658324,8.95149e-07,0.0139773,4.19487e-06
-4.2,0.00781209,1.57365e-06,0.0152852,7.35098e-06
-4.08,0.00924247,2.7305e-06,0.0166906,1.27115e-05
-3.96,0.0109018,4.67654e-06,0.018198,2.16916e-05
-3.84,0.0128203,7.90646e-06,0.0198119,3.65296e-05
-3.72,0.0150305,1.3196e-05,0.0215371,6.07125e-05
-3.6,0.0175679,2.17439e-05,0.0233786,9.95889e-05
-3.48,0.0204705,3.5375e-05,0.025342,0.000161236
-3.36,0.0237784,5.68268e-05,0.0274342,0.000257664
-3.24,0.0275339,9.01453e-05,0.0296635,0.000406448
-3.12,0.0317807,0.000141221,0.0320411,0.000632907
-3,0.0365634,0.000218505,0.0345822,0.000972923
-2.88,0.0419266,0.000333934,0.0373075,0.00147654
-2.76,0.0479138,0.000504123,0.0402457,0.00221237
-2.64,0.0545658,0.000751835,0.043436,0.00327298
-2.52,0.0619195,0.00110778,0.0469319,0.00478103
-2.4,0.0700053,0.0016127,0.0508047,0.00689627
-2.28,0.0788452,0.0023198,0.0551488,0.00982298
-2.16,0.0884497,0.0032973,0.0600859,0.0138175
-2.04,0.098815,0.00463105,0.0657706,0.0191952
-1.92,0.10992,0.00642687,0.0723945,0.026336
-1.8,0.121722,0.00881214,0.080189,0.0356879
-1.68,0.134155,0.011936,0.0894252,0.0477658
-1.56,0.147125,0.0159672,0.100408,0.0631464
-1.44,0.160508,0.0210878,0.113466,0.0824544
-1.32,0.174149,0.027482,0.12892,0.106339
-1.2,0.187863,0.0353171,0.147052,0.135436
-1.08,0.201433,0.0447154,0.168038,0.170304
-0.96,0.214617,0.0557158,0.191872,0.211325
-0.84,0.227152,0.0682277,0.218266,0.258546
-0.72,0.238764,0.0819831,0.246549,0.311431
-0.6,0.249176,0.0964996,0.275581,0.368518
-0.48,0.258124,0.111076,0.303738,0.427017
-0.36,0.265365,0.124844,0.328996,0.482526
-0.24,0.270696,0.136885,0.34916,0.52918
-0.12,0.273959,0.14642,0.362219,0.560621
4.32987e-15,0.275058,0.153011,0.366744,0.571757
0.12,0.273959,0.156737,0.362219,0.560621
0.24,0.270696,0.158252,0.34916,0.52918
0.36,0.265365,0.158726,0.328996,0.482526
0.48,0.258124,0.159669,0.303738,0.427017
0.6,0.249176,0.162701,0.275581,0.368518
0.72,0.238764,0.169336,0.246549,0.311431
0.84,0.227152,0.180798,0.218266,0.258546
0.96,0.214617,0.197874,0.191872,0.211325
1.08,0.201433,0.220796,0.168038,0.170304
1.2,0.187863,0.249126,0.147052,0.135436
1.32,0.174149,0.281659,0.12892,0.106339
1.44,0.160508,0.316374,0.113466,0.0824544
1.56,0.147125,0.350484,0.100408,0.0631464
1.68,0.134155,0.380672,0.0894252,0.0477658
1.8,0.121722,0.403516,0.080189,0.0356879
1.92,0.10992,0.416072,0.0723945,0.026336
2.04,0.098815,0.416475,0.0657706,0.0191952
2.16,0.0884497,0.404336,0.0600859,0.0138175
2.28,0.0788452,0.380818,0.0551488,0.00982298
2.4,0.0700053,0.348319,0.0508047,0.00689627
2.52,0.0619195,0.309932,0.0469319,0.00478103
2.64,0.0545658,0.268835,0.043436,0.00327298
2.76,0.0479138,0.227824,0.0402457,0.00221237
2.88,0.0419266,0.189034,0.0373075,0.00147654
3,0.0365634,0.153873,0.0345822,0.000972923
3.12,0.0317807,0.123084,0.0320411,0.000632907
3.24,0.0275339,0.0968883,0.0296635,0.000406448
3.36,0.0237784,0.0751398,0.0274342,0.000257664
3.48,0.0204705,0.0574621,0.025342,0.000161236
3.6,0.0175679,0.0433608,0.0233786,9.95889e-05
3.72,0.0150305,0.0323023,0.0215371,6.07125e-05
3.84,0.0128203,0.0237651,0.0198119,3.65296e-05
3.96,0.0109018,0.0172711,0.018198,2.16916e-05
4.08,0.00924247,0.0124005,0.0166906,1.27115e-05
4.2,0.00781209,0.00879696,0.0152852,7.35098e-06
4.32,0.00658324,0.00616614,0.0139773,4.19487e-06
4.44,0.00553106,0.0042705,0.0127625,2.3621e-06
4.56,0.00463312,0.00292223,0.0116362,1.31241e-06
4.68,0.00386932,0.0019756,0.0105939,7.19478e-07
4.8,0.00322174,0.00131949,0.00963107,3.89158e-07
4.92,0.00267449,0.000870564,0.00874331,2.07673e-07
5.04,0.00221352,0.000567351,0.00792618,1.09336e-07
5.16,0.00182647,0.000365194,0.00717537,5.67897e-08
5.28,0.00150255,0.000232157,0.00648667,2.90991e-08
5.4,0.00123233,0.000145744,0.00585599,1.47091e-08
5.52,0.00100764,9.03479e-05,0.00527938,7.33452e-09
5.64,0.000821405,5.53005e-05,0.00475307,3.6077e-09
5.76,0.000667544,3.34189e-05,0.00427342,1.75044e-09
5.88,0.00054084,1.99378e-05,0.00383699,8.37755e-10
