x,pdf_class,pdf_function,moment,class_value,function_value,class_samples,function_samples
-4,0.00235838,0.00235838,,,,,
-3.96,0.00251189,0.00251189,,,,,
-3.92,0.00267449,0.00267449,,,,,
-3.88,0.00284666,0.00284666,,,,,
-3.84,0.00302891,0.00302891,,,,,
-3.8,0.00322174,0.00322174,,,,,
-3.76,0.00342571,0.00342571,,,,,
-3.72,0.00364137,0.00364137,,,,,
-3.68,0.00386932,0.00386932,,,,,
-3.64,0.00411016,0.00411016,,,,,
-3.6,0.00436454,0.00436454,,,,,
-3.56,0.00463312,0.00463312,,,,,
-3.52,0.00491658,0.00491658,,,,,
-3.48,0.00521565,0.00521565,,,,,
-3.44,0.00553106,0.00553106,,,,,
-3.4,0.00586359,0.00586359,,,,,
-3.36,0.00621404,0.00621404,,,,,
-3.32,0.00658324,0.00658324,,,,,
-3.28,0.00697205,0.00697205,,,,,
-3.24,0.00738136,0.00738136,,,,,
-3.2,0.00781209,0.00781209,,,,,
-3.16,0.00826519,0.00826519,,,,,
-3.12,0.00874165,0.00874165,,,,,
-3.08,0.00924247,0.00924247,,,,,
-3.04,0.00976872,0.00976872,,,,,
-3,0.0103215,0.0103215,,,,,
-2.96,0.0109018,0.0109018,,,,,
-2.92,0.011511,0.011511,,,,,
-2.88,0.01215,0.01215,,,,,
-2.84,0.0128203,0.0128203,,,,,
-2.8,0.0135229,0.0135229,,,,,
-2.76,0.0142592,0.0142592,,,,,
-2.72,0.0150305,0.0150305,,,,,
-2.68,0.0158381,0.0158381,,,,,
-2.64,0.0166835,0.0166835,,,,,
-2.6,0.0175679,0.0175679,,,,,
-2.56,0.018493,0.018493,,,,,
-2.52,0.01946,0.01946,,,,,
-2.48,0.0204705,0.0204705,,,,,
-2.44,0.0215261,0.0215261,,,,,
-2.4,0.0226282,0.0226282,,,,,
-2.36,0.0237784,0.0237784,,,,,
-2.32,0.0249784,0.0249784,,,,,
-2.28,0.0262297,0.0262297,,,,,
-2.24,0.0275339,0.0275339,,,,,
-2.2,0.0288927,0.0288927,,,,,
-2.16,0.0303078,0.0303078,,,,,
-2.12,0.0317807,0.0317807,,,,,
-2.08,0.0333132,0.0333132,,,,,
-2.04,0.0349069,0.0349069,,,,,
-2,0.0365634,0.0365634,,,,,
-1.96,0.0382845,0.0382845,,,,,
-1.92,0.0400717,0.0400717,,,,,
-1.88,0.0419266,0.0419266,,,,,
-1.84,0.0438509,0.0438509,,,,,
-1.8,0.0458461,0.0458461,,,,,
-1.76,0.0479138,0.0479138,,,,,
-1.72,0.0500553,0.0500553,,,,,
-1.68,0.0522722,0.0522722,,,,,
-1.64,0.0545658,0.0545658,,,,,
-1.6,0.0569374,0.0569374,,,,,
-1.56,0.0593883,0.0593883,,,,,
-1.52,0.0619195,0.0619195,,,,,
-1.48,0.0645321,0.0645321,,,,,
-1.44,0.0672271,0.0672271,,,,,
-1.4,0.0700053,0.0700053,,,,,
-1.36,0.0728674,0.0728674,,,,,
-1.32,0.0758139,0.0758139,,,,,
-1.28,0.0788452,0.0788452,,,,,
-1.24,0.0819616,0.0819616,,,,,
-1.2,0.0851631,0.0851631,,,,,
-1.16,0.0884497,0.0884497,,,,,
-1.12,0.0918209,0.0918209,,,,,
-1.08,0.0952763,0.0952763,,,,,
-1.04,0.098815,0.098815,,,,,
-1,0.102436,0.102436,,,,,
-0.96,0.106138,0.106138,,,,,
-0.92,0.10992,0.10992,,,,,
-0.88,0.113779,0.113779,,,,,
-0.84,0.117714,0.117714,,,,,
-0.8,0.121722,0.121722,,,,,
-0.76,0.1258,0.1258,,,,,
-0.72,0.129946,0.129946,,,,,
-0.68,0.134155,0.134155,,,,,
-0.64,0.138424,0.138424,,,,,
-0.6,0.142749,0.142749,,,,,
-0.56,0.147125,0.147125,,,,,
-0.52,0.151547,0.151547,,,,,
-0.48,0.15601,0.15601,,,,,
-0.44,0.160508,0.160508,,,,,
-0.4,0.165035,0.165035,,,,,
-0.36,0.169584,0.169584,,,,,
-0.32,0.174149,0.174149,,,,,
-0.28,0.178723,0.178723,,,,,
-0.24,0.183297,0.183297,,,,,
-0.2,0.187863,0.187863,,,,,
-0.16,0.192414,0.192414,,,,,
-0.12,0.19694,0.19694,,,,,
-0.08,0.201433,0.201433,,,,,
-0.04,0.205883,0.205883,,,,,
3.01148e-15,0.210281,0.210281,,,,,
0.04,0.214617,0.214617,,,,,
0.08,0.218881,0.218881,,,,,
0.12,0.223063,0.223063,,,,,
0.16,0.227152,0.227152,,,,,
0.2,0.231139,0.231139,,,,,
0.24,0.235013,0.235013,,,,,
0.28,0.238764,0.238764,,,,,
0.32,0.242381,0.242381,,,,,
0.36,0.245855,0.245855,,,,,
0.4,0.249176,0.249176,,,,,
0.44,0.252334,0.252334,,,,,
0.48,0.25532,0.25532,,,,,
0.52,0.258124,0.258124,,,,,
0.56,0.260738,0.260738,,,,,
0.6,0.263155,0.263155,,,,,
0.64,0.265365,0.265365,,,,,
0.68,0.267363,0.267363,,,,,
0.72,0.269142,0.269142,,,,,
0.76,0.270696,0.270696,,,,,
0.8,0.272019,0.272019,,,,,
0.84,0.273108,0.273108,,,,,
0.88,0.273959,0.273959,,,,,
0.92,0.274569,0.274569,,,,,
0.96,0.274936,0.274936,,,,,
1,0.275058,0.275058,,,,,
1.04,0.274936,0.274936,,,,,
1.08,0.274569,0.274569,,,,,
1.12,0.273959,0.273959,,,,,
1.16,0.273108,0.273108,,,,,
1.2,0.272019,0.272019,,,,,
1.24,0.270696,0.270696,,,,,
1.28,0.269142,0.269142,,,,,
1.32,0.267363,0.267363,,,,,
1.36,0.265365,0.265365,,,,,
1.4,0.263155,0.263155,,,,,
1.44,0.260738,0.260738,,,,,
1.48,0.258124,0.258124,,,,,
1.52,0.25532,0.25532,,,,,
1.56,0.252334,0.252334,,,,,
1.6,0.249176,0.249176,,,,,
1.64,0.245855,0.245855,,,,,
1.68,0.242381,0.242381,,,,,
1.72,0.238764,0.238764,,,,,
1.76,0.235013,0.235013,,,,,
1.8,0.231139,0.231139,,,,,
1.84,0.227152,0.227152,,,,,
1.88,0.223063,0.223063,,,,,
1.92,0.218881,0.218881,,,,,
1.96,0.214617,0.214617,,,,,
2,0.210281,0.210281,,,,,
2.04,0.205883,0.205883,,,,,
2.08,0.201433,0.201433,,,,,
2.12,0.19694,0.19694,,,,,
2.16,0.192414,0.192414,,,,,
2.2,0.187863,0.187863,,,,,
2.24,0.183297,0.183297,,,,,
2.28,0.178723,0.178723,,,,,
2.32,0.174149,0.174149,,,,,
2.36,0.169584,0.169584,,,,,
2.4,0.165035,0.165035,,,,,
2.44,0.160508,0.160508,,,,,
2.48,0.15601,0.15601,,,,,
2.52,0.151547,0.151547,,,,,
2.56,0.147125,0.147125,,,,,
2.6,0.142749,0.142749,,,,,
2.64,0.138424,0.138424,,,,,
2.68,0.134155,0.134155,,,,,
2.72,0.129946,0.129946,,,,,
2.76,0.1258,0.1258,,,,,
2.8,0.121722,0.121722,,,,,
2.84,0.117714,0.117714,,,,,
2.88,0.113779,0.113779,,,,,
2.92,0.10992,0.10992,,,,,
2.96,0.106138,0.106138,,,,,
3,0.102436,0.102436,,,,,
3.04,0.098815,0.098815,,,,,
3.08,0.0952763,0.0952763,,,,,
3.12,0.0918209,0.0918209,,,,,
3.16,0.0884497,0.0884497,,,,,
3.2,0.0851631,0.0851631,,,,,
3.24,0.0819616,0.0819616,,,,,
3.28,0.0788452,0.0788452,,,,,
3.32,0.0758139,0.0758139,,,,,
3.36,0.0728674,0.0728674,,,,,
3.4,0.0700053,0.0700053,,,,,
3.44,0.0672271,0.0672271,,,,,
3.48,0.0645321,0.0645321,,,,,
3.52,0.0619195,0.0619195,,,,,
3.56,0.0593883,0.0593883,,,,,
3.6,0.0569374,0.0569374,,,,,
3.64,0.0545658,0.0545658,,,,,
3.68,0.0522722,0.0522722,,,,,
3.72,0.0500553,0.0500553,,,,,
3.76,0.0479138,0.0479138,,,,,
3.8,0.0458461,0.0458461,,,,,
3.84,0.0438509,0.0438509,,,,,
3.88,0.0419266,0.0419266,,,,,
3.92,0.0400717,0.0400717,,,,,
3.96,0.0382845,0.0382845,,,,,
,,,Среднее,1,1,,
,,,Дисперсия,2.384,2.384,,
,,,Асимметрия,0,0,,
,,,Эксцесс,0.405,0.405,,
,,,,,,-0.0829709,-0.567957
,,,,,,2.47752,1.89147
,,,,,,-1.77777,1.8623
,,,,,,0.17003,-0.987152
,,,,,,1.38514,3.92749
,,,,,,0.665667,3.19822
,,,,,,1.78823,6.16324
,,,,,,3.21076,3.3786
,,,,,,0.184471,1.3269
,,,,,,2.33837,1.28946
,,,,,,1.56518,0.828357
,,,,,,2.09821,-0.64838
,,,,,,1.16918,-0.561658
,,,,,,1.18783,0.726776
,,,,,,3.65438,-1.58941
,,,,,,2.26159,-0.402132
,,,,,,0.425295,-1.15565
,,,,,,-2.29834,-2.01779
,,,,,,0.580904,0.722752
,,,,,,2.3059,2.21652
,,,,,,-0.0666347,0.358034
,,,,,,-0.617212,4.04699
,,,,,,2.36448,-0.319296
,,,,,,2.82712,-0.775272
,,,,,,-0.22212,-1.1324
,,,,,,2.19942,2.23107
,,,,,,1.23424,-2.02042
,,,,,,1.74521,0.0661952
,,,,,,3.88392,0.0528288
,,,,,,1.6492,1.07919
,,,,,,4.2643,1.43364
,,,,,,-1.65471,0.281366
,,,,,,1.77332,0.321223
,,,,,,-3.49209,2.60722
,,,,,,1.92559,1.20668
,,,,,,-0.121055,1.80385
,,,,,,-3.3688,1.64835
,,,,,,3.2434,1.96247
,,,,,,0.356386,-1.81185
,,,,,,1.2865,1.85266
,,,,,,2.39125,0.907128
,,,,,,-0.598506,2.38128
,,,,,,-0.669804,0.936373
,,,,,,0.569611,-0.99488
,,,,,,-1.31235,-0.153816
,,,,,,-0.691883,1.98603
,,,,,,4.47032,0.238682
,,,,,,0.667819,1.02125
,,,,,,-0.116404,-0.233913
,,,,,,-0.454505,1.41029
,,,,,,3.56741,1.22057
,,,,,,2.26465,0.484476
,,,,,,1.12699,-0.616237
,,,,,,1.58286,3.96888
,,,,,,-0.603944,2.45065
,,,,,,0.971224,-1.11614
,,,,,,0.45535,0.534148
,,,,,,0.386864,1.01586
,,,,,,-0.0414752,0.214327
,,,,,,0.539426,0.399632
,,,,,,0.45372,1.57554
,,,,,,1.24158,0.835775
,,,,,,-0.0633609,0.62465
,,,,,,0.613741,4.20568
,,,,,,1.77242,-2.28668
,,,,,,-0.0060982,0.839625
,,,,,,4.13175,0.73025
,,,,,,-0.388915,1.87335
,,,,,,-0.946295,3.7163
,,,,,,0.0271806,0.770508
,,,,,,2.80769,-0.605266
,,,,,,1.40436,2.25454
,,,,,,3.14711,0.252458
,,,,,,2.25528,1.64151
,,,,,,-1.29413,1.8994
,,,,,,-0.437488,1.59466
,,,,,,2.40447,2.42738
,,,,,,0.706739,0.942529
,,,,,,0.793217,2.24953
,,,,,,1.6892,2.31753
,,,,,,0.948998,1.92715
,,,,,,0.463137,-1.04607
,,,,,,1.83356,2.62598
,,,,,,-0.480972,2.96771
,,,,,,1.43126,0.48517
,,,,,,-0.558948,0.916114
,,,,,,1.29528,0.837505
,,,,,,1.64414,-0.0206438
,,,,,,-0.0907854,-0.297485
,,,,,,2.34827,2.02739
,,,,,,-2.95526,-0.537718
,,,,,,0.92146,-0.281903
,,,,,,-2.50245,3.65663
,,,,,,1.23991,0.027055
,,,,,,2.82066,-0.268506
,,,,,,1.63145,0.195809
,,,,,,0.475645,-0.219187
,,,,,,2.23215,0.736596
,,,,,,-0.278827,-0.196119
,,,,,,1.11433,3.99323
,,,,,,2.54706,-0.603161
,,,,,,0.173477,2.22036
,,,,,,-1.19991,-1.22505
,,,,,,1.41345,-2.08583
,,,,,,1.98609,-0.294688
,,,,,,-0.651806,0.352149
,,,,,,1.26356,4.17403
,,,,,,-0.727692,1.00421
,,,,,,-3.52617,1.2143
,,,,,,2.62941,0.13035
,,,,,,1.33021,-0.491494
,,,,,,1.49348,0.292806
,,,,,,2.5422,0.562282
,,,,,,1.75043,2.64046
,,,,,,2.12927,1.22811
,,,,,,-0.229293,2.65486
,,,,,,1.97725,2.78037
,,,,,,2.64826,1.58436
,,,,,,-1.65879,0.519534
,,,,,,-2.45397,-1.36148
,,,,,,2.44308,0.440721
,,,,,,0.753143,-0.31033
,,,,,,2.02179,-1.03492
,,,,,,0.357935,-1.90486
,,,,,,1.76157,1.05693
,,,,,,0.599352,2.32524
