sample_std,sample_scaled,sample_shift_scaled
-0.314556,-1.34506,3.90724
-2.28228,1.79363,3.89268
-0.845723,1.90421,4.00814
-1.62363,3.51014,3.85421
0.476562,1.56392,6.60697
0.0228208,0.641951,5.26653
-0.0284263,0.441776,4.70356
-1.77182,-1.16771,4.3614
-0.26437,1.12573,5.64235
1.06746,1.48438,8.2947
1.14138,-0.260536,4.72707
-0.370291,-2.36139,5.59226
0.552709,-1.04907,5.89901
-0.115552,0.647217,5.18923
-1.02668,1.31491,5.211
0.327507,-1.361,4.79582
-0.134682,1.64064,4.22411
-0.0863358,2.28599,6.77797
-0.135691,-1.10038,4.41642
-0.0501408,1.8282,4.76326
0.742245,1.59266,5.68615
0.983246,2.15049,1.61352
1.36733,3.11459,5.32051
-0.263384,1.01306,5.74494
-0.214241,0.855459,6.85504
-0.822596,-2.0016,3.51885
-0.376959,-1.61673,5.58878
1.07926,1.06378,3.29663
-0.0966255,2.03773,4.51441
0.355193,-2.15966,7.55104
-0.408438,0.383636,3.99054
0.238155,-0.0752563,5.23138
1.07227,-1.45919,1.6869
-0.577889,-2.16706,5.27229
-0.49489,-0.345431,4.88401
0.160023,0.464206,4.76134
1.24247,0.440242,4.86428
1.23144,0.75042,4.17312
-0.077812,-0.767258,6.76764
-0.393135,-1.00561,5.93014
-0.382573,1.34487,6.31092
1.72823,0.120064,3.21323
0.283261,-1.85756,6.60456
0.523866,-2.07023,3.18251
-0.0305886,-2.11817,8.09148
0.694359,0.389715,5.29964
0.72956,-1.66401,5.1019
-0.232633,-0.501527,4.96209
1.11516,-1.91733,5.77404
0.231665,-0.0249074,5.44126
-1.72684,-0.243631,3.24984
-0.00841345,0.558641,5.15658
0.45043,1.68249,4.37132
0.0587044,-0.222642,5.36724
-0.0391123,0.224779,4.98924
1.39981,2.72025,4.36301
0.0466396,1.13585,5.12455
0.595507,-3.7714,4.59539
-0.442172,-1.78109,3.44114
-0.329627,1.13358,3.53788
0.351081,-1.1929,3.56604
-0.38302,0.578962,2.99898
-0.193831,1.87657,4.02812
0.316884,-0.35346,4.37585
-0.906006,1.30195,-1.34441
-1.04984,1.45343,7.70463
0.415233,-2.84044,7.16753
1.60075,3.66044,5.95158
0.303132,-0.0312666,5.6402
1.34777,1.15119,6.69764
-0.237004,1.62216,6.34055
1.37219,-2.94567,4.41472
0.99285,-1.4774,8.11114
-0.000762674,1.88088,4.06712
-0.700697,-0.418567,3.38597
-0.0405406,1.44091,3.43173
0.255981,4.16688,3.26766
0.523887,0.266088,5.26768
2.4472,-0.190116,2.73685
-0.141661,1.45135,5.42162
0.307173,2.0156,3.41537
0.263017,-1.24633,2.84866
1.08152,-1.00172,6.40671
-0.491788,0.770724,4.71939
1.37802,0.861429,4.2816
-0.658568,1.02629,3.2793
-0.297393,-1.88879,4.9487
0.323585,-2.06391,5.00861
0.802193,1.24726,5.30576
-0.0843246,1.19638,5.16058
-0.759458,-1.23979,2.49212
-0.728552,-1.15769,5.32136
0.427875,-1.32705,9.17961
0.733511,-1.21426,3.45564
1.50227,2.22355,9.03538
0.949535,0.0256031,1.56294
0.37585,1.19573,6.03933
-0.733955,-0.438105,6.36569
0.374448,1.59922,4.75322
1.27203,-0.316132,7.77255
0.545183,-2.12348,6.51597
0.039269,1.28158,5.9694
-0.589233,-0.447272,5.02632
-0.468267,-0.743456,6.16144
-0.785141,0.377808,6.03459
-0.755394,-0.159529,3.66528
0.229403,1.16516,3.97893
0.36748,-2.11984,5.80837
-0.758445,0.116653,4.56726
0.308557,-3.42442,6.90923
0.416595,1.75125,4.11135
