x,std_01_11,scaled_02_11,shift_scaled_52_21
-5,1.14069e-07,0.00235838,5.70347e-08
-4.9,1.945e-07,0.00275935,7.45623e-08
-4.8,3.2858e-07,0.00322174,9.72502e-08
-4.7,5.49972e-07,0.00375377,1.26548e-07
-4.6,9.12076e-07,0.00436454,1.6429e-07
-4.5,1.49873e-06,0.00506412,2.12795e-07
-4.4,2.44025e-06,0.00586359,2.74986e-07
-4.3,3.93705e-06,0.00677514,3.54533e-07
-4.2,6.29433e-06,0.00781209,4.56038e-07
-4.1,9.97205e-06,0.00898895,5.85257e-07
-4,1.56563e-05,0.0103215,7.49367e-07
-3.9,2.43603e-05,0.0118267,9.57296e-07
-3.8,3.75644e-05,0.0135229,1.22012e-06
-3.7,5.74103e-05,0.0154297,1.55156e-06
-3.6,8.6964e-05,0.0175679,1.96852e-06
-3.5,0.00013057,0.0199597,2.49186e-06
-3.4,0.000194322,0.0226282,3.14716e-06
-3.3,0.000286676,0.0255975,3.96578e-06
-3.2,0.000419249,0.0288927,4.98602e-06
-3.1,0.000607835,0.0325394,6.25457e-06
-3,0.000873677,0.0365634,7.82817e-06
-2.9,0.00124505,0.0409906,9.77562e-06
-2.8,0.00175921,0.0458461,1.21801e-05
-2.7,0.00246467,0.0511543,1.51421e-05
-2.6,0.00342395,0.0569374,1.87822e-05
-2.5,0.00471676,0.0632156,2.32454e-05
-2.4,0.00644348,0.0700053,2.87051e-05
-2.3,0.00872908,0.0773189,3.53685e-05
-2.2,0.0117272,0.0851631,4.3482e-05
-2.1,0.0156242,0.0935381,5.33385e-05
-2,0.0206429,0.102436,6.5285e-05
-1.9,0.0270458,0.11184,7.97314e-05
-1.8,0.0351359,0.121722,9.71608e-05
-1.7,0.0452563,0.132043,0.000118141
-1.6,0.0577855,0.142749,0.000143338
-1.5,0.0731269,0.153774,0.00017353
-1.4,0.0916923,0.165035,0.000209625
-1.3,0.113875,0.176436,0.000252679
-1.2,0.140011,0.187863,0.000303917
-1.1,0.170326,0.199191,0.000364758
-1,0.204872,0.210281,0.000436838
-0.9,0.243444,0.220983,0.00052204
-0.8,0.285498,0.231139,0.000622527
-0.7,0.33007,0.24059,0.000740773
-0.6,0.375726,0.249176,0.000879604
-0.5,0.420562,0.256745,0.00104224
-0.4,0.462278,0.263155,0.00123233
-0.3,0.498352,0.26828,0.00145402
-0.2,0.526309,0.272019,0.00171198
-0.1,0.544038,0.274294,0.00201146
-1.02696e-15,0.550116,0.275058,0.00235838
0.1,0.544038,0.274294,0.00275935
0.2,0.526309,0.272019,0.00322174
0.3,0.498352,0.26828,0.00375377
0.4,0.462278,0.263155,0.00436454
0.5,0.420562,0.256745,0.00506412
0.6,0.375726,0.249176,0.00586359
0.7,0.33007,0.24059,0.00677514
0.8,0.285498,0.231139,0.00781209
0.9,0.243444,0.220983,0.00898895
1,0.204872,0.210281,0.0103215
1.1,0.170326,0.199191,0.0118267
1.2,0.140011,0.187863,0.0135229
1.3,0.113875,0.176436,0.0154297
1.4,0.0916923,0.165035,0.0175679
1.5,0.0731269,0.153774,0.0199597
1.6,0.0577855,0.142749,0.0226282
1.7,0.0452563,0.132043,0.0255975
1.8,0.0351359,0.121722,0.0288927
1.9,0.0270458,0.11184,0.0325394
2,0.0206429,0.102436,0.0365634
2.1,0.0156242,0.0935381,0.0409906
2.2,0.0117272,0.0851631,0.0458461
2.3,0.00872908,0.0773189,0.0511543
2.4,0.00644348,0.0700053,0.0569374
2.5,0.00471676,0.0632156,0.0632156
2.6,0.00342395,0.0569374,0.0700053
2.7,0.00246467,0.0511543,0.0773189
2.8,0.00175921,0.0458461,0.0851631
2.9,0.00124505,0.0409906,0.0935381
3,0.000873677,0.0365634,0.102436
3.1,0.000607835,0.0325394,0.11184
3.2,0.000419249,0.0288927,0.121722
3.3,0.000286676,0.0255975,0.132043
3.4,0.000194322,0.0226282,0.142749
3.5,0.00013057,0.0199597,0.153774
3.6,8.6964e-05,0.0175679,0.165035
3.7,5.74103e-05,0.0154297,0.176436
3.8,3.75644e-05,0.0135229,0.187863
3.9,2.43603e-05,0.0118267,0.199191
4,1.56563e-05,0.0103215,0.210281
4.1,9.97205e-06,0.00898895,0.220983
4.2,6.29433e-06,0.00781209,0.231139
4.3,3.93705e-06,0.00677514,0.24059
4.4,2.44025e-06,0.00586359,0.249176
4.5,1.49873e-06,0.00506412,0.256745
4.6,9.12076e-07,0.00436454,0.263155
4.7,5.49972e-07,0.00375377,0.26828
4.8,3.2858e-07,0.00322174,0.272019
4.9,1.945e-07,0.00275935,0.274294
5,1.14069e-07,0.00235838,0.275058
